Country,Company_Suffixes
Albania,"['Sh.p.k.', 'Sh.A.', 'Sh.K.', 'Shoqëri kolektive', 'Degë', 'Zyrë e përfaqësimit']"
Argentina,"['S.A.', 'S.R.L.', 'S.C.S.', 'S.C.p.A.', 'Soc.Col.', 'S.C.e I.', 'S.E.', 'S.G.R. [6][7]', 'S.A.S.', 'S.A.U.']"
Australia,"['LLP', 'ILP', 'See also', 'Inc.', 'Ltd.', 'NL', 'Pty. Ltd.', 'Pty.  company with a share capital', 'Trust[9]', 'Indigenous Corporation under the Corporations  Act 2006 ,[10] administrated by the Office of the Registrar of Indigenous Corporations']"
Belarus,"['d.d.', 'a.d.', 'd.n.o.', 'd.o.o.', 'k.d.', 's.p.']"
Bosnia and Herzegovina,"['d.d.', 'a.d.', 'd.n.o.', 'd.o.o.', 'k.d.', 's.p.']"
Brazil,"['Sociedade limitada', 'S.A.', 'Sociedade simples', 'Sociedade em comandita simples', 'Sociedade em nome coletivo', 'Sociedade em conta de participação', 'Sociedade em comum', 'Cooperativa ≈ cooperative', 'Empresa individual', 'Empresa Individual de Responsabilidade Limitada', 'Micro empreendedor individual', 'Empresa pública', 'Sociedade de economia mista', 'Associação em sentido estrito', 'Organização não governamental', 'Organização da sociedade civil de interesse público', 'Organização social', 'Serviços sociais autônomos', 'Fundação privada', 'Fundação pública']"
Brunei,"['SP', 'GP', 'LP', 'SM Pte Ltd.', 'Pte Ltd.', 'Plc Ltd.', 'PEEC', 'State Company', 'State Joint Venture Company', 'Import Export Co., Ltd']"
Cambodia,"['SP', 'GP', 'LP', 'SM Pte Ltd.', 'Pte Ltd.', 'Plc Ltd.', 'PEEC', 'State Company', 'State Joint Venture Company', 'Import Export Co., Ltd']"
Canada,"['SP', 'GP', 'LP', 'Corporation', 'Joint Venture']"
Chile,"['SpA', 'SRL  – LLC  US purposes', 'EIRL', 'S.A.', 'S.G.R. [15]', 'LTDA.']"
China,"['Company with limited liability,', 'Corporation, corporated company, 股份有限公司']"
Colombia,"['S.A.', 'S.A.S.', 'Ltda.', 'S.C.', 'S. en C.', 'S.C.A.', 'E.U.']"
Costa Rica,"['S.A.', 'S.R.L. or Ltda.']"
Dominican Republic,"['C. por A. , also abbreviated CXA[18]', 'S.A.', 'S.A.S', 'SRL.', 'EIRL.', 'Sociedad En Comandita Simple.']"
Ecuador,"['S.A. or C.A.', 'S.A.S.', 'Cía. Ltda.', 'EP']"
Egypt,"['SAE  ≈ plc . Minimum capital LE\xa0250,000.', 'LLC  ≈ Ltd. . No Minimum capital .', 'Sharikat Tadamun ≈ شركة تضامن general partnership', 'Sharikat Tawssiyah Bassita ≈ شركات توصية بسيطة limited partnership', 'Sharikat Tawssiyah Belashom ≈ LLP']"
Ethiopia,"['PLC', 'SC', 'CS', 'PE or PC']"
European Union and European Economic Area,"['Decentralised EU/Euratom bodies established through secondary legislation\nAgencies, decentralised independent bodies, corporate bodies and joint undertakings of the European Union and the Euratom', 'Agencies, decentralised independent bodies, corporate bodies and joint undertakings of the European Union and the Euratom', 'Corporations and foundations registered at Union level', 'European Research Infrastructure Consortium', 'European political party', 'European political foundation.', 'Pan-European forms registered at member-state level\ncorporations', 'corporations', 'European grouping of territorial cooperation', 'Societas cooperativa Europaea', 'Societas Europaea', 'other partnerships', 'European economic interest grouping']"
Ghana,"['Sole Proprietorship', 'Private Limited By Share', 'Private Unlimited By Share', 'Private Limited By Guarantee', 'Public Unlimited Company', 'External Company', 'Public Limited Company', 'Public Limited By Guarantee', 'Partnership', 'Subsidiary Business Name']"
Guatemala,"['Standardized Company; Legal Form, Sociedad Anónima  – Stock Corporation; Minimum Capital Requirement, G\xa025,000']"
Haiti,"['Standardized Company; Legal Form, Sociedad Anónima  – Stock Corporation; Minimum Capital Requirement, G\xa025,000']"
Hong Kong,"['Ltd', 'Unltd or Ultd']"
